"LINK_PUBLISHER","TITLE_JP","AUTHOR","DATE","ISBN","PRICE","COMMENT","EH","UPLOADER","AUTHOR_ROMA","TITLE_ROMA","PAGE","SOURCE","QUALITY"
http://www.akaneshinsha.co.jp/item/5175/,制服少女の取扱い方,まきお,"2015-7-28","978-4-86349-515-9",1000,"こんなエロい制服少女を目の前にしては
お願いされてもやめるわけにはいかない！

著者初単行本＆コミック高レーベル初単行本！
「背徳感」とか「羞恥心」とか、ベタだけどこういうのがやっぱりエロいっ！
ダークなストーリーの制服少女エロマンガで抜きたい人にお勧めです！

収録作品:
「ないしょの図書委員会」
「アタシ、今恋してんの！」
「いろごと」
「いもうと」
「いもうと 後編」
「溺れ死ぬアジサイ」
「まなざし」
「しあわせの形」",https://exhentai.org/g/876391/eb159d9bcd/,touchzet,Makio,Seifuku Shoujo no Toriatsukaikata - School girl manual,"210/2",SCAN,"2000px"
http://www.akaneshinsha.co.jp/item/5865/,カクレコト,鶴田文学,"2015-10-27","978-4-86349-534-0",1000,"悪戯したい、思春期の好奇心

少女から大人へと成長する過程で、激しく揺れ動く思春期少女の心と身体。理性と好奇心、その狭間で葛藤しながらも貪欲に「性」を求める幼い姿は、男を「悪戯したい」衝動へと駆り立てる…。

決して派手さはないが、見るものを惹き付ける濃密なストーリー、そして思春期の心の機微を捉える確かな画力。前作「ヒミツノ」から三年。構成、画力共にさらなる進化を遂げた実力派、鶴田文学、珠玉の傑作集。

収録作品：「キマリゴト」「オトシゴロ」「トラワレノ」「ナシクズシ」「ハジメテワ」「キョウハク」「カヤノソト」「カヤノナカ」「デキルカナ」「クモノイト」",https://exhentai.org/g/885096/fdd395619b/,salar,Tsuruta Bungaku,Kakure Koto,"196/4",SCAN,"3000px"
http://www.akaneshinsha.co.jp/item/7793/,とくべつな毎日,柴崎ショージ,"2016-7-28","978-4-86349-570-8",1000,"平凡で、かけがえのない青春。

JKオンリー雑誌COMIC高でデビュー、カップル同士の何気ない日常とセックスを
丹念に、丁寧に描き続けてきた成果がついに結実！
描き下ろしや加筆修正を大幅に追加し、より作品世界に深みを増した決定版です。

収録作品:
あなただから
ずっと傍に
したいこと
エスケープ
近づきたくて
あたたかいへや
これからの二人",https://exhentai.org/g/981386/140e59c54d/,salar,Shibasaki Syouzi,Tokubetsu na Mainichi - Special daily,"208",SCAN,"3000px"
http://www.akaneshinsha.co.jp/item/8167/,発情いんふれーしょん♡,おろねこ,"2016-8-27","978-4-86349-576-0",1000,"おねだりしても、いいですか？

全作品ラブラブ保証！すっごくえっちでキミのことがだーすきな彼女しか存在しない
著者初単行本がこちら！コミック天魔全掲載作に大幅加筆を加えた
ラブエロマンガの決定版がついに登場！

収録作品:

きすみーなう！
キミのおみ足を汚したい
下心勉強会
浜辺でノーサツ♥大作戦！
カイカン♥ジッケン
お願いメイド様！
誘惑カノジョ♥
ルック・アット・ミー
送りオオカミ乙女にご注意！",https://exhentai.org/g/988582/a09f71f5c7/,Magikarp_Guy,Oroneko,Hatsujou Inflation - Estrus Inflation,"208",DLSITE,"1500px"
http://www.akaneshinsha.co.jp/item/9332/,おねショタでぃっしゅ♡,森島コン,"2017-1-28","978-4-86349-607-1",1000,"甘く弄られる喜び♥

100%年上ヒロイン♥恋とか性の目覚めとかひっくるめて、ぜーんぶ包みこんでくれる”おねえちゃん”達との、優しさと激しさに満ちたえっちが盛りだくさんな著者初の成年向け単行本がついに発売♪

歳の差が生みだす「母性」に溺れるもよし、無垢な身体を快感へと誘う「背徳」に浸るもよし、画面いっぱいに広がる”おねショタ”の魅力を存分にご堪能ください♥

【収録作品】

「ドウテイサンプル」
「お風呂とらぶるっ!」
「お姉ちゃんとあそぼ!」
「ナイショのご奉仕」
「アイドルだって○○したい!」
「肉♥熱BODY」
「主導権はどっち? -続・肉♥熱BODY-」
「嘘からはじまる」
「本番中はお静かに!」
「クリスマスは君と」",https://exhentai.org/g/1036327/4c10ac2757/,uiiiin,Morishima Kon,Oneshota Dish,"206",DLSITE,"1500px"
http://www.akaneshinsha.co.jp/item/9379/,こわしてあそぼ,仙道八,"2017-2-25","978-4-86349-612-5",1000,"純粋悪意に晒されりゃ、常識なんざ薄笑い。

キメセク、異物挿入、撮影、脅迫。強姦に次ぐ強姦、陵辱に次ぐ陵辱。
まさに「ヘドが出そうな」悪意に満ちた作品群で構成された極濃初単行本。

収録作品:
「ON AIR」
「脱ギャル！」
「ホンキの恋愛」
「花さく桃」
「得手勝手」
「ずーっと一緒！」
「友達１００人出来るかな」
「友達１００人出来るかな」描き下ろし
「お散歩メイドル」
「嘘だと言ってよ、お父さん！」",https://exhentai.org/g/1046140/412bddf142/,salar,Sendou Hachi,Kowashite Asobo,"194/2",SCAN,"3000px"
http://www.akaneshinsha.co.jp/item/9491/,あつあつもちもち,東野みかん,"2017-3-28","978-4-86349-618-7",1000,"お熱いうちにしがみつけ！

栄養たっぷり蓄えたBIGサイズJKとのセックスを大満足ボリュームでお届けする最新単行本！
大きくてムチムチな彼女に情欲の全てをぶつけたいんだ！甘えたいんだ僕たちは！

収録作品:
「おっきな彼女に甘えたい」
「お弁当と小春ちゃん」
「シャーベット・キス」
「彼氏にナイショでｖ」
「Love sickなお姉ちゃん」
「暗闇ノ花ビラ」
「お姉ちゃんの中でおしっこして！」
「サイレントバス」",https://exhentai.org/g/1056356/060b4928dd/,James.M,Higashino Mikan,Atsuatsu Mochimochi,"192",DLSITE,"1500px"
http://www.akaneshinsha.co.jp/item/9494/,声を聞かせて,きいろいたまご,"2017-3-28","978-4-86349-619-4",1000,"ウブなラブが、いいんです。

「初めて同士」のおっかなびっくりのセックスが、赤面するほど生々しく、エロい。
学生カップルの初々しく堪らない恋愛事情と、いたいけなセックスを余すところなく収録！

収録作品:
「ずっと前から」
「とらカブり??」
「悪魔のささやき 前編」
「悪魔のささやき 後編」
「声を聞かせて」
「こんぷれっくす」
「たねも仕掛けもありません！」
「社」",https://exhentai.org/g/1056354/03c00408a3/,James.M,Kiiroi Tamago,Koe o Kikasete,"176",DLSITE,"1500px"
http://www.akaneshinsha.co.jp/item/9758/,初恋えっち,うさ城まに,"2017-5-27","978-4-86349-631-6",1000,"いちいちカワイイロリ顔ＪＫと
濃密はめはめしませんか？♥

カワイイ＆えっちな彼女といちゃいちゃハメハメしたいならこの一冊！
ＪＫオンリー誌コミック高が自信を持って贈る珠玉の初単行本！

収録作品:
「さぷらいず♥ふゅーちゃー！」
「アツアツday！」
「ポンポンあればサティスファクション♥」
「彼女コロン」
「ニセ彼女」
「Love aromachorogy♥」
「アイ-クル-シイ 前編」
「アイ-クル-シイ 中編」
「アイ-クル-シイ 後編」",https://exhentai.org/g/1082455/8cf331e203/,glvdtr,Usashiro Mani,Hatsukoi Ecchi - First love H.,"210/2",FANZA,"2880px"
http://www.akaneshinsha.co.jp/item/9756/,愛が無くてもエッチは出来る！,sugarBt,"2017-5-27","978-4-86349-630-9",1000,"堕とされて、愛を知る。

ずっと俺のターン!と言わんばかりの怒涛のラッシュ!!
『雄』の情欲をJKに浴びせて堕とす、コミック高
期待の新鋭、初単行本がついに登場♥

逆転無し!息もつかせぬハイテンションSEXにハマれ!シコれ!!解き放て!!!

【収録作品】

「ストッキングは破けない」
「どっちが好きなのっ!?」
「はじめての授業」
「快感特急アナル行き」
「あの子を抑え込み!」
「ねえちゃんと風呂はいったことある?」
「教えて!コーチ 」
「ネットカフェではお静かに」
「僕の愛しい優等生」
「一般淑女のマナー」",https://exhentai.org/g/1082059/098b292371/,glvdtr,sugarBt,Ai ga Nakutemo Ecchi wa Dekiru! - Even if There is No Love You Can H!,"208",FANZA,"2880px"
